per,cluster,perform_std,perform_quart,f1_std,f2_std,f3_std
133,8,1.056691051,4,0.884541988,0.567346454,0.0713543
134,8,0.65558821,3,0.66951859,1.556632638,-0.071627796
135,8,-0.507609546,2,-1.012623906,0.840390027,-1.190796852
136,8,1.417683125,4,0.838956475,0.173899069,-0.773114085
137,8,-0.153694794,2,0.598806798,0.574852526,-0.188218191
138,8,1.528758168,4,-1.027482152,1.781348944,-0.325718015
139,8,0.412061661,3,-0.264280468,0.840998054,-0.194708884
140,8,-0.134583548,2,1.09668076,0.394317329,-1.586627841
141,8,-0.206781968,2,-0.516452134,0.997982144,-0.742551208
142,8,0.806773186,4,-1.60017848,0.579123855,0.066019937
143,8,1.128889441,4,1.167762756,0.307982773,-0.410559177
144,8,0.695699036,3,0.064140625,1.10375917,1.058108807
145,8,0.98449266,4,0.451658189,0.361057699,0.714537859
146,8,-0.470584244,2,-0.724866986,0.665719986,-0.808981001
147,8,0.214375421,3,-0.678567469,-0.128876224,0.064483859
148,8,0.437846571,3,0.657713294,-0.094058551,-0.431882709
149,8,0.009813265,2,0.355244219,0.685495853,-1.161562443
150,8,0.370805323,3,0.343572527,1.1916821,0.169245809
151,8,0.83107084,4,-0.488475055,1.2809062,-0.141126573
152,8,-0.415046751,2,0.282642126,0.491043448,0.686488092
153,8,0.443003714,3,-0.153210998,1.481364369,-0.24640134
154,8,-0.226837367,2,0.57962358,1.520027518,-0.054190412
155,8,-0.232567728,2,0.3080706,-0.008364561,-1.468111515
156,8,0.79883945,4,0.605288804,0.476884574,-0.912545443
157,8,-0.447444201,2,-0.745855033,0.353325784,-0.972786546
158,8,0.370805323,3,-0.594554603,1.108688712,-1.00318861
159,8,0.033879403,2,1.120471001,-0.025057569,-0.988058269
160,8,-0.859345913,1,-1.060045481,0.424020112,0.145845577
161,8,-0.902981997,1,-0.484090626,0.139159024,-1.233184814
162,8,0.560326338,3,0.798541486,0.938457847,-0.831057012
163,8,0.731798232,4,-1.140118718,1.686736345,-0.770327806
164,8,-0.387278855,2,0.365896583,0.673959076,-0.999954939
165,8,0.892603755,4,0.58761543,0.872243941,-0.856197298
166,8,0.057019453,3,0.802771688,0.779795051,-0.082415439
167,8,-1.359180808,1,-0.366620749,-0.353935093,-1.038895249
168,8,1.089508533,4,-1.222352624,0.685870647,0.162942052
169,8,-1.145362973,1,-0.59706986,-0.610603929,-0.88570118
170,8,0.137801349,3,1.371179819,0.497549623,-0.274972588
171,8,0.013824001,2,-1.95857203,0.49795714,0.6810745
172,8,0.364789218,3,0.553082764,1.679403663,-0.265225649
173,8,-0.266947299,2,-0.482596904,1.499884844,-0.973286986
174,8,-0.696700215,1,0.41438809,0.573476374,-1.516412258
175,8,0.46597594,3,0.294466168,0.953039885,0.209156752
176,8,3.222645044,4,0.344552368,0.58118242,-2.200047016
177,8,-0.828491628,1,-0.057808183,0.86869514,-1.677125454
178,8,0.154210091,3,0.724116862,0.653338909,-0.811328232
179,8,-0.098484352,2,0.531728685,-0.753970861,-0.248617843
180,8,-0.146616623,2,0.553294063,-0.175806001,-0.869663119
181,8,0.936360359,4,-1.459937096,1.485036135,-0.187309265
182,8,-0.229344502,2,0.473022968,0.712751329,-0.358212262
183,8,0.018838281,2,-0.872328162,0.117805295,-1.378031731
184,8,-0.553890467,1,-0.670404434,-0.181447372,0.3362014
185,8,-0.567774892,1,-1.039169431,2.000331402,0.545002639
186,8,1.634279251,4,1.450071454,0.549965203,-0.945244014
187,8,-0.387278855,2,0.633474171,1.095081925,-1.330801606
188,8,-0.507609546,2,-2.315755129,0.892118037,0.588950932
189,8,1.13691175,4,0.09432561,0.977916241,0.100060761
190,8,-0.276203841,2,1.877397537,0.210036486,-0.841999173
191,8,0.179994985,3,-0.588096082,1.759309649,-0.028198093
192,8,-0.002219803,2,-0.053361349,-0.307261378,0.713250697
193,8,0.83107084,4,-0.676846385,0.416043401,0.150302336
194,8,0.379830331,3,0.726951599,0.080547094,-0.00951931
195,8,0.79883945,4,-0.342203438,0.59597677,0.019467818
196,8,0.184293181,3,-0.719845533,0.760973513,0.228293374
197,8,-0.748270869,1,0.599935174,1.265144944,1.292430639
198,8,0.850409269,4,0.662052035,0.828500986,0.211941242
199,8,-0.251906186,2,0.475437194,-0.249729782,0.952638984
200,8,1.778676033,4,0.806238651,0.97828871,0.7551561
201,8,1.016581178,4,0.205752939,1.308889747,-0.449773401
202,8,-0.176699728,2,0.579218984,-0.015944539,1.078509092
203,8,0.244458526,3,-0.927456141,0.687907815,-0.227380663
204,8,0.231565639,3,-0.431739748,1.298357725,-0.134440228
205,8,-0.507609546,2,-0.647895455,1.241626501,-0.939286411
206,8,-1.057693124,1,-0.639520645,1.746867061,-2.73859334
207,8,0.65558821,3,0.596715271,0.691940308,-0.816965222
208,8,-1.064139605,1,-0.79075253,0.183350414,-1.865128875
209,8,0.214375421,3,-0.851268172,1.101387739,-1.131994128
210,8,0.053934801,3,-0.350298613,0.534805238,-1.951916456
211,8,-0.593559742,1,-0.098354578,-0.036273688,-1.627199054
212,8,1.340327501,4,0.601183653,0.808442175,0.936442614
213,8,0.615478277,3,0.573765337,-0.065720946,0.287426233
214,8,-0.062385146,2,1.507064104,0.741633594,-0.624808729
215,8,0.154210091,3,0.833435953,0.828659177,-0.996531606
216,8,0.728516459,4,0.54960674,-0.246954843,0.51717931
217,8,-0.232567728,2,-0.822580636,0.185187101,-0.122583158
218,8,0.808509111,4,0.268307358,0.592440128,-0.919499576
219,8,-0.086451277,2,0.539404035,0.424944043,-0.148285106
220,8,-0.603874087,1,0.517842054,0.81567049,-0.276303977
221,8,0.470078766,3,-0.731609404,-0.060236283,0.204367653
222,8,1.092790246,4,0.390684247,0.759740591,0.697195888
223,8,-0.109592192,2,-0.611034811,-0.086865477,0.32550317
224,8,0.896250427,4,0.273251683,0.308297724,1.003297091
225,8,0.653229117,3,-0.742888451,0.926560342,-0.602761567
226,8,-0.327112645,2,1.203296542,1.254766345,-0.334849507
227,8,0.470078766,3,0.449042946,0.490032077,0.238588169
228,8,-0.180997059,2,-2.046645641,1.741413116,-0.5534392
229,8,0.414926857,3,-0.028271593,0.584580779,0.11527507
230,8,0.009813265,2,-0.279527932,0.573305726,-0.764465928
231,8,-1.975644708,1,-0.651801109,-0.385499924,-1.607071996
232,8,-0.174930185,2,0.478584707,0.161435023,-0.499741048
233,8,1.391898155,4,-0.274074048,0.326184154,-0.243079469
234,8,0.515202105,3,-1.836034894,1.061163306,0.22218512
235,8,0.11811088,3,0.504805207,0.335938632,-0.919260859
236,8,0.966442645,4,-0.543145835,1.426990032,-0.308593303
237,8,0.334706098,3,0.85013932,0.677694321,-0.295482725
238,8,0.37481606,3,0.610010207,1.405491471,-0.527060151
239,8,-0.347168058,2,-1.675503612,0.209492072,-0.101125151
240,8,0.489417225,3,-0.768951118,1.759204388,-1.187985182
241,8,0.489417225,3,0.245909557,1.336924672,-0.21146147
242,8,-0.531675637,2,-0.6095137,0.689464808,-1.161865473
243,8,-0.026285939,2,-0.834086061,0.943845093,-0.815421045
244,8,-0.266947299,2,-0.473178804,1.04996717,-1.45065558
245,8,-0.180997059,2,0.376386225,0.368233114,-1.288587689
246,8,0.154210091,3,-0.255739808,0.399574429,-0.938211381
247,8,1.528758168,4,0.281170726,0.994696617,0.239180386
248,8,-0.387278855,2,-1.205461144,0.347462982,-0.173849106
249,8,-0.357195735,2,-0.512243748,0.305139482,-1.658820987
250,8,1.417683125,4,0.740659535,0.187119305,0.736506283
251,8,1.548952937,4,1.018576384,0.625215292,-1.216846585
252,8,-0.157555774,2,-1.088827252,0.312468052,-0.387619466
253,8,0.575368345,3,-1.114161968,0.25524056,0.279730856
